"A","C","E","H","N","R","SP","SH","B","L","Latitude","Longitude","Place.names","City"
1,0,1,0,1,0,0,0,0,1,37.022839,43.29227,"Resort of Ashawa","Dohuk"
1,0,1,0,1,0,0,0,0,1,36.861459,42.996873,"Resort of Solav","Dohuk"
0,0,0,0,1,0,1,0,0,1,36.84568,43.004286,"Prazani Park","Dohuk"
0,0,1,0,1,0,1,0,0,1,36.845834,42.99124,"Park Azadi","Dohuk"
1,0,1,0,1,0,0,0,0,1,36.860233,42.952941,"Phin Resort","Dohuk"
0,0,0,0,0,0,0,1,1,1,36.866609,42.957144,"Duhok Mall","Dohuk"
1,0,1,0,1,0,0,0,0,1,36.875833,43.003611,"Dohuk Governorate","Dohuk"
1,0,1,0,1,0,0,0,0,0,36.867905,42.948857,"Resort  of Kelly Sheeran","Dohuk"
0,0,0,0,0,0,0,1,1,1,36.852067,42.88363,"Family Mall","Dohuk"
1,0,1,0,1,0,0,0,0,1,36.631242,44.446435,"Gali Ali Beg Waterfall","Arbil"
1,0,1,0,1,0,0,0,0,1,36.617353,44.497719,"Waterfall Bekhal","Arbil"
1,0,1,0,1,0,0,1,0,1,36.409844,44.320179,"Shaklawa Resort","Arbil"
1,1,1,0,1,0,0,0,0,1,36.831651,44.221044,"Chandelar Cave","Arbil"
1,0,1,0,1,0,0,0,0,1,36.673205,45.048166,"Resort Haj Omran","Arbil"
0,1,0,0,0,0,0,0,0,0,36.234235,43.988721,"Museum of Syrialc Heritage","Arbil"
1,0,1,0,1,0,0,0,0,1,36.190811,44.022689,"Ganarok Resort","Arbil"
0,0,1,0,1,0,1,1,1,1,36.180589,43.999643,"Aqua Park","Arbil"
0,0,1,0,1,0,1,1,1,1,36.181238,44.001102,"Shandar Park","Arbil"
0,0,1,0,1,0,1,1,1,1,36.168953,44.019242,"Ronaki Park","Arbil"
0,0,1,0,1,0,1,1,1,1,36.191356,43.975991,"Sami Abdel Rahman Park","Arbil"
0,0,1,0,1,0,1,1,1,1,36.181188,44.001403,"Shander Park","Arbil"
0,0,1,0,1,0,1,1,1,1,36.18576,44.000408,"Lighthouse Park","Arbil"
1,0,0,0,1,0,0,0,0,1,36.235613,43.989129,"amusement park  of Ainkawa","Arbil"
1,0,0,0,1,0,0,0,0,1,36.21381,44.046828,"amusement park  of Family Fan","Arbil"
0,0,1,0,1,0,1,0,0,1,36.229491,43.989503,"Ainkawa Park","Arbil"
0,1,0,0,1,0,0,0,0,1,36.173746,44.010507,"Plain pf Harer","Arbil"
0,1,0,0,1,0,0,0,0,1,36.191179,44.009128,"Historic Arbil Castle","Arbil"
0,1,0,0,1,0,0,0,0,1,36.173929,44.013956,"Castle of nobles","Arbil"
0,1,0,0,0,1,0,0,0,0,36.18806,44.003034,"The Jolly Minaret","Arbil"
1,1,1,0,1,0,0,1,1,1,36.608538,44.523869,"Rawanduz","Arbil"
1,1,1,0,1,0,0,1,1,1,36.616837,44.505014,"Tourist Bank Resort","Arbil"
0,0,0,0,0,0,0,1,1,1,36.209606,44.044718,"Magdy Mall","Arbil"
0,0,0,0,0,0,0,1,1,1,36.19674,44.017722,"Holler Mall","Arbil"
0,0,0,0,0,0,0,1,1,1,36.180237,44.014354,"Rhine Mall","Arbil"
0,0,0,0,0,0,0,1,1,1,36.180418,44.024444,"city ??center","Arbil"
0,0,0,0,0,0,0,1,1,1,36.171388,44.013631,"Tablo Mall","Arbil"
1,1,1,0,1,0,0,0,0,1,35.58287,45.465295,"Mount Azmar","Sulaymaniyah"
1,1,1,0,1,0,0,0,0,0,35.545,45.517778,"Mount Koige","Sulaymaniyah"
1,0,0,0,0,1,0,0,0,0,35.58196,45.467988,"the aquatic city","Sulaymaniyah"
0,0,1,0,1,0,1,0,0,1,35.558541,45.436009,"Sargonar","Sulaymaniyah"
1,0,1,0,1,0,0,0,0,1,35.816667,45.916667,"Ahmed Awa Falls","Sulaymaniyah"
1,0,1,0,1,0,0,0,0,1,36.139263,44.923875,"Lake of Dokan","Sulaymaniyah"
1,0,1,0,1,0,0,0,0,1,35.161,45.794763,"Lake Darbandakhan","Sulaymaniyah"
1,0,1,0,1,0,0,0,0,1,35.797858,45.415407,"Kunah Masi","Sulaymaniyah"
0,1,0,0,1,0,0,0,0,1,34.606926,45.313401,"Chirouane Castle","Sulaymaniyah"
0,1,0,0,0,1,0,0,0,0,35.558275,45.440397,"Mosque of Sulaymaniyah","Sulaymaniyah"
0,1,0,0,0,0,0,0,0,0,35.557787,45.425763,"Museum of Sulaymaniyah","Sulaymaniyah"
0,0,0,0,0,0,0,1,1,1,35.540724,45.429202,"Family Mall","Sulaymaniyah"
0,0,0,0,0,0,0,1,1,1,35.565737,45.371346,"Magdy Mall","Sulaymaniyah"
1,0,1,0,1,0,1,0,0,0,35.58196,45.46797,"Jaffee Land","Sulaymaniyah"
0,1,0,0,0,0,0,1,1,0,35.557213,45.443664,"Mallow Mall","Sulaymaniyah"
0,0,0,0,1,0,0,1,1,1,35.564594,45.432115,"Park Azadi","Sulaymaniyah"
0,0,1,0,1,0,0,0,0,1,32.541278,44.414957,"Babil Tourist Resort","Babylon"
0,1,0,0,0,0,0,0,0,0,32.542279,44.420889,"Traces of Babylon","Babylon"
0,1,0,0,0,1,0,0,0,0,32.226734,44.367139,"Mosque of Nakhilah","Babylon"
0,1,0,0,0,1,0,0,0,0,32.477336,44.427621,"Grand Mosque of Hilla","Babylon"
0,1,0,0,0,1,0,0,0,0,32.884002,44.350069,"Grand Mosque of Alexandria","Babylon"
0,1,0,0,0,1,0,0,0,0,32.781632,44.284299,"Great Mosque of Musayyib","Babylon"
1,1,0,0,0,0,0,0,0,1,32.447782,44.418295,"Al Zaqora Park","Babylon"
0,1,0,0,0,0,0,0,0,0,32.391758,44.341271,"The Nimrod Tower in Borsiba","Babylon"
0,1,0,0,0,1,0,0,0,0,32.393443,44.345584,"The Shrine of the Prophet Ibrahim","Babylon"
0,1,0,0,0,1,0,0,0,0,32.348557,44.399265,"The Shrine of the Prophet Ayoub","Babylon"
0,1,0,0,0,0,0,0,0,0,32.541455,44.423673,"The Ishtar Gate","Babylon"
0,1,1,0,1,0,0,0,0,0,32.476714,44.431898,"Hanging Gardens","Babylon"
0,1,0,0,0,0,0,0,0,0,32.543232,44.422917,"The Nebuchadnezzar Museum","Babylon"
0,1,0,0,0,0,0,0,0,1,32.542599,44.429848,"The Babylonian Theater","Babylon"
0,1,0,0,0,1,0,0,0,0,32.466228,44.343839,"The Shrine of Sharifa Bint Al Hassan","Babylon"
1,0,1,0,1,0,0,0,0,1,30.574701,47.778247,"Sindbad Island","Basra"
0,0,0,0,1,0,0,1,1,1,30.536297,47.79648,"The tourist baho","Basra"
0,0,1,0,1,0,0,0,0,1,31.01745,47.424532,"Qurna","Basra"
1,0,0,0,1,0,1,0,0,1,30.55206,47.797676,"Basra Land","Basra"
0,0,0,0,0,0,1,0,0,1,30.437877,47.782529,"Basra Sports City","Basra"
0,0,0,0,1,0,0,0,0,1,30.5157,47.846054,"corneche Street","Basra"
1,1,1,0,1,0,0,0,0,1,30.508103,47.783489,"Threshold forests","Basra"
1,1,0,0,0,0,1,1,0,0,30.365509,47.608621,"Burjisiyah","Basra"
0,1,1,0,1,0,0,0,0,1,30.590254,47.670128,"Al Khoura Gardens","Basra"
0,1,0,0,0,0,0,0,0,1,30.495278,47.861252,"Presidential Palace","Basra"
0,1,0,0,0,0,0,1,1,0,30.520674,47.835705,"Indian Market","Basra"
0,1,0,0,0,0,0,1,1,0,30.522178,47.835766,"Market of Al-ashaar","Basra"
0,0,0,0,0,0,0,1,1,0,30.541171,47.805496,"Basra Times Square","Basra"
0,0,0,0,0,0,0,1,1,0,30.518816,47.835889,"Ashar Center","Basra"
0,0,0,0,0,0,0,1,1,1,30.517568,47.83356,"Basra Mall","Basra"
0,1,0,0,0,0,0,0,0,0,30.497415,47.861102,"Basra Cultural Museum","Basra"
1,0,0,0,1,0,1,0,0,1,30.451263,47.774167,"amusement park  of Galfar","Basra"
0,0,0,0,0,0,1,0,0,0,30.461744,48.002315,"amusement park  of  Coast","Basra"
0,1,0,0,0,1,0,0,0,0,30.1032926,44.2857844,"The Shrine of Imam Ali bin Abi Talib","Najaf"
0,1,0,0,0,1,0,0,0,0,30.0216341,44.2016254,"The Shrine of the Prophet Hood","Najaf"
0,1,0,0,0,1,0,0,0,0,33.9295777,44.1533032,"The Shrine of the Prophet Salih","Najaf"
0,1,0,0,0,1,0,0,0,0,30.0545005,44.2342838,"The Shrine of the Prophet Adam","Najaf"
0,1,0,0,0,1,0,0,0,0,32.785208,44.312848,"Mosque of Muslim bin Aqeel","Najaf"
0,1,0,0,0,0,0,0,0,0,32.003777,44.311553,"Valley of Peace","Najaf"
0,1,0,0,0,1,0,0,0,0,32.029196,44.400804,"Mosque of Kufa","Najaf"
0,1,1,0,0,0,0,0,0,0,32.014108,44.238424,"Sea of ??Najaf","Najaf"
0,1,0,0,0,0,0,1,1,0,32.0352018,44.4067993,"The big market","Najaf"
0,1,0,0,0,0,0,0,0,0,31.731091,44.3139,"Khan Al Rahba","Najaf"
0,1,0,0,0,0,0,0,0,0,32.027376,44.333116,"Najaf Heritage Museum","Najaf"
1,0,1,0,1,0,1,0,0,1,32.019702,44.336958,"The typical recreational city","Najaf"
0,1,0,0,0,0,0,0,0,0,32.027376,44.333116,"Palace of the Emirate","Najaf"
1,0,0,0,1,0,1,0,0,1,31.995411,44.338589,"amusement park  of  Teachers","Najaf"
1,0,0,0,1,0,1,0,0,1,32.021891,44.343429,"amusement park  of Peace","Najaf"
0,1,0,0,0,1,0,0,0,0,32.516496,43.797185,"Imam Ali bin Abi Talib drop","Karbala"
0,1,0,0,0,0,0,0,0,0,32.440566,43.602429,"Al - Ukhaydir Fort","Karbala"
0,1,0,0,0,1,0,0,0,0,30.0421438,31.1994291,"The Shrine of Imam Hussein and Abbas","Karbala"
0,1,0,0,0,0,0,0,0,0,32.463096,43.711478,"The Palace of Shimon","Karbala"
1,0,1,0,1,0,0,0,0,1,32.75,43.633333,"Lake of  Razzaza","Karbala"
0,1,1,0,0,0,0,0,0,1,32.640712,44.081063,"White Qantara","Karbala"
0,1,1,1,1,0,0,0,0,1,32.5650839,43.4909578,"Ayn al-Tamr","Karbala"
0,1,0,0,0,0,0,1,1,0,32.618585,44.034153,"Bab al-Salalma market","Karbala"
0,1,0,0,0,1,0,0,0,0,34.184648,43.856644,"Al-Min?rat Al-Malwiyyah","Salahaddin"
0,1,0,0,0,1,0,0,0,0,34.199025,43.87358,"The two military imams","Salahaddin"
0,1,0,0,0,0,0,0,0,0,34.241543,43.808183,"Qasr al-'Ashiq","Salahaddin"
0,1,0,0,0,1,0,0,0,0,34.361148,43.802205,"Mosque of Abu Delf","Salahaddin"
0,1,0,0,0,0,0,1,1,0,34.166004,43.905515,"Samarra","Salahaddin"
0,1,0,0,0,0,0,0,0,0,34.235364,43.881454,"The Abbasid Antiquities","Salahaddin"
1,0,1,0,1,0,0,0,0,1,34.060879,44.98119,"Al-Sodor lake","Diyala"
1,0,1,0,1,0,0,0,0,1,34.05847115,44.99374862,"Dam of Diyala","Diyala"
1,0,1,0,1,0,0,0,0,1,34.238611,44.992222,"Lake of  Hamrin","Diyala"
1,0,1,0,1,0,0,0,0,1,34.630628,44.517962,"The tourist city in the Great Dam","Diyala"
0,1,0,0,0,0,0,0,0,0,34.35351169,45.38444689,"Qantaraa of Khanaqin","Diyala"
0,1,0,0,0,0,0,0,0,0,33.744149,44.631817,"Qantara of Bharaz","Diyala"
0,1,0,0,0,0,0,0,0,0,33.567086,44.542839,"Khan Bani Saad","Diyala"
0,1,0,0,0,0,0,1,1,0,34.433583,44.936954,"Qara Tabah market","Diyala"
0,1,0,0,0,1,0,0,0,0,33.754995,44.640005,"Shabandar Mosque","Diyala"
0,1,0,0,0,1,0,0,0,0,34.188242,45.116041,"Mosque of Naqshbandi","Diyala"
0,1,0,0,0,1,0,0,0,0,34.46562,41.914595,"Mosque of Sheikh Rajab (Rawa)","Anbar"
0,1,0,0,0,1,0,0,0,0,34.130381,42.386855,"Mosque of Farouk","Anbar"
1,1,1,0,1,0,1,0,0,1,33.291908,43.46448,"Lake of Habbaniyah","Anbar"
1,1,1,0,1,0,0,0,0,0,34.206944,42.355,"Hdietha dam","Anbar"
0,0,0,0,0,0,0,1,1,1,33.413944,43.276048,"Ozdelik Park Shopping Center","Anbar"
0,1,1,0,1,0,0,0,0,1,33.984654,43.252151,"Lake of Al-Tharthar","Anbar"
0,1,0,0,1,0,0,0,0,1,33.875549,42.531346,"Khan al-Baghdadi","Anbar"
0,1,0,0,0,1,0,0,0,0,32.348557,44.399265,"The Shrine of the Prophet Ayoub","Qadisiyah"
0,1,0,0,0,1,0,0,0,0,32.073298,44.882572,"The Shrine of the Prophet Shuaib","Qadisiyah"
0,0,0,0,1,0,1,0,0,1,31.99587,44.906883,"Corniche of Diwaniyah","Qadisiyah"
0,0,0,0,1,0,0,0,0,1,32.002635,44.920113,"Olive Park","Qadisiyah"
0,1,0,0,1,0,0,0,0,1,35.469778,44.395777,"Castle of Kirkuk","Kirkuk"
0,1,0,0,1,0,0,0,0,1,35.312274,44.512678,"Castle of Gramo","Kirkuk"
0,1,0,0,0,0,0,0,0,0,35.471226,44.388542,"Al Qashla Building","Kirkuk"
0,1,0,0,0,1,0,0,0,0,35.468651,44.395579,"The Shrine of the Prophet Daniel","Kirkuk"
1,0,0,0,1,0,0,0,0,1,35.487651,44.40455,"Sargnar Park","Kirkuk"
0,1,0,0,0,1,0,0,0,0,35.492581,44.406905,"Mosque of the friend.","Kirkuk"
0,1,0,0,0,1,0,0,0,0,35.425687,44.373968,"Mosque of Mohammed al - Ghouth (Mosque judge).","Kirkuk"
1,0,1,0,1,0,0,0,0,1,35.423836,44.369166,"The amusement park of Baba Karkar","Kirkuk"
1,0,0,0,1,0,0,0,0,1,35.410389,44.378564,"The amusement park of Kirkuk","Kirkuk"
0,1,0,0,0,0,0,0,0,0,30.962755,46.103178,"The archaeological city of Ur","Dhi Qar"
0,1,0,0,0,0,0,0,0,0,30.961455,46.105714,"Or Chaldean","Dhi Qar"
0,1,0,0,0,0,0,0,0,0,30.961768,46.105134,"Museum of Inaglede Nana","Dhi Qar"
0,1,0,0,0,0,0,0,0,0,31.079486,46.25462,"Erdo","Dhi Qar"
0,1,1,0,1,0,0,0,0,1,30.955043,46.975481,"The Dhi Qar Marshes","Dhi Qar"
0,1,0,0,0,1,0,0,0,0,31.043025,46.253759,"Faleh Pasha Grand Mosque.","Dhi Qar"
0,1,0,0,0,1,0,0,0,0,30.887144,46.463078,"Mosque of Souk al-Shuyuk","Dhi Qar"
0,1,0,0,0,0,0,0,0,0,31.046957,46.237285,"Museum of Nasiriyah","Dhi Qar"
1,0,0,0,1,0,1,0,0,1,31.165754,46.611428,"Anchorage Boats Reform","Dhi Qar"
0,0,0,0,0,0,0,0,0,0,31.317228,45.28751,"Zaytouna Park","Muthanna"
0,0,0,0,1,0,1,0,0,1,31.313716,45.274062,"Park Teachers District","Muthanna"
0,1,0,0,0,0,0,0,0,0,29.913317,45.299386,"The Archaeological Temple of Carius","Muthanna"
0,1,0,0,0,0,0,0,0,0,31.318839,45.280618,"Orok Castle","Muthanna"
1,1,1,0,1,0,0,0,0,1,31.314255,45.006995,"Lake of Sawa","Muthanna"
0,1,1,0,1,0,0,0,0,1,30.766667,47.05,"Maysan Marshlands","Maysan"
0,0,1,0,1,0,1,0,0,1,31.859256,47.143772,"Zoo and Park of Omaraa","Maysan"
0,0,1,0,1,0,1,0,0,1,31.846736,47.159655,"Boat Park","Maysan"
0,0,1,0,1,0,1,0,0,1,31.84191,47.16038,"The entertainment city of Maysan","Maysan"
0,1,0,0,0,0,0,1,1,0,31.848654,47.151196,"Great Architecture Market","Maysan"
0,0,1,0,1,0,1,0,0,1,32.532052,45.818825,"Damok Park","Wasit"
0,1,0,0,0,0,0,0,0,0,32.602409,45.752098,"Historic City of Wasit","Wasit"
0,0,0,0,1,0,1,0,0,1,32.506066,45.812689,"Corniche El Kout","Wasit"
0,1,0,0,0,1,0,0,0,0,32.493208,45.828086,"Grand Mosque of Kut","Wasit"
0,0,0,0,1,0,1,0,0,1,32.503519,45.816722,"Al Rihana Park","Wasit"
0,1,0,0,0,0,0,1,1,0,32.498669,45.828609,"Heritage Market","Wasit"
