"Longitude","Latitude","Place.names"
43.25326,36.158167,"Hamam al-Alil"
43.139408,36.337863,"Mosul Museum"
43.139717,36.379555,"University of Mosul Stadium"
43.127341,36.333754,"New Gate Park"
43.12003,36.378563,"The forests of Mosul"
43.48397982,37.09085417,"Al-Amadiyah Castle"
43.483951,37.090582,"The Abbasid Bridge"
42.999204,36.85778,"Great Duhok Mosque."
42.997208,36.861742,"The Great Mosque in Aqra"
43.135918,36.90466,"Resort of Zawita"
42.846165,37.232618,"Shranche waterfall"
43.338697,37.04633,"Resort  of Sarsink"
43.29227,37.022839,"Resort of Ashawa"
42.996873,36.861459,"Resort of Solav"
43.004286,36.84568,"Prazani Park"
42.99124,36.845834,"Park Azadi"
42.952941,36.860233,"Phin Resort"
42.957144,36.866609,"Duhok Mall"
43.003611,36.875833,"Dohuk Governorate"
42.948857,36.867905,"Resort  of Kelly Sheeran"
42.88363,36.852067,"Family Mall"
44.446435,36.631242,"Gali Ali Beg Waterfall"
44.497719,36.617353,"Waterfall Bekhal"
44.320179,36.409844,"Shaklawa Resort"
44.221044,36.831651,"Chandelar Cave"
45.048166,36.673205,"Resort Haj Omran"
43.988721,36.234235,"Museum of Syrialc Heritage"
44.022689,36.190811,"Ganarok Resort"
43.999643,36.180589,"Aqua Park"
44.001102,36.181238,"Shandar Park"
44.019242,36.168953,"Ronaki Park"
43.975991,36.191356,"Sami Abdel Rahman Park"
44.001403,36.181188,"Shander Park"
44.000408,36.18576,"Lighthouse Park"
43.989129,36.235613,"amusement park  of Ainkawa"
44.046828,36.21381,"amusement park  of Family Fan"
43.989503,36.229491,"Ainkawa Park"
44.010507,36.173746,"Plain pf Harer"
44.009128,36.191179,"Historic Arbil Castle"
44.013956,36.173929,"Castle of nobles"
44.003034,36.18806,"The Jolly Minaret"
44.523869,36.608538,"Rawanduz"
44.505014,36.616837,"Tourist Bank Resort"
44.044718,36.209606,"Magdy Mall"
44.017722,36.19674,"Holler Mall"
44.014354,36.180237,"Rhine Mall"
44.024444,36.180418,"city ??center"
44.013631,36.171388,"Tablo Mall"
45.465295,35.58287,"Mount Azmar"
45.517778,35.545,"Mount Koige"
45.467988,35.58196,"the aquatic city"
45.436009,35.558541,"Sargonar"
45.916667,35.816667,"Ahmed Awa Falls"
44.923875,36.139263,"Lake of Dokan"
45.794763,35.161,"Lake Darbandakhan"
45.415407,35.797858,"Kunah Masi"
45.313401,34.606926,"Chirouane Castle"
45.440397,35.558275,"Mosque of Sulaymaniyah"
45.425763,35.557787,"Museum of Sulaymaniyah"
45.429202,35.540724,"Family Mall"
45.371346,35.565737,"Magdy Mall"
45.46797,35.58196,"Jaffee Land"
45.443664,35.557213,"Mallow Mall"
45.432115,35.564594,"Park Azadi"
44.414957,32.541278,"Babil Tourist Resort"
44.420889,32.542279,"Traces of Babylon"
44.367139,32.226734,"Mosque of Nakhilah"
44.427621,32.477336,"Grand Mosque of Hilla"
44.350069,32.884002,"Grand Mosque of Alexandria"
44.284299,32.781632,"Great Mosque of Musayyib"
44.418295,32.447782,"Al Zaqora Park"
44.341271,32.391758,"The Nimrod Tower in Borsiba"
44.345584,32.393443,"The Shrine of the Prophet Ibrahim"
44.399265,32.348557,"The Shrine of the Prophet Ayoub"
44.423673,32.541455,"The Ishtar Gate"
44.431898,32.476714,"Hanging Gardens"
44.422917,32.543232,"The Nebuchadnezzar Museum"
44.429848,32.542599,"The Babylonian Theater"
44.343839,32.466228,"The Shrine of Sharifa Bint Al Hassan"
47.778247,30.574701,"Sindbad Island"
47.79648,30.536297,"The tourist baho"
47.424532,31.01745,"Qurna"
47.797676,30.55206,"Basra Land"
47.782529,30.437877,"Basra Sports City"
47.846054,30.5157,"corneche Street"
47.783489,30.508103,"Threshold forests"
47.608621,30.365509,"Burjisiyah"
47.670128,30.590254,"Al Khoura Gardens"
47.861252,30.495278,"Presidential Palace"
47.835705,30.520674,"Indian Market"
47.835766,30.522178,"Market of Al-ashaar"
47.805496,30.541171,"Basra Times Square"
47.835889,30.518816,"Ashar Center"
47.83356,30.517568,"Basra Mall"
47.861102,30.497415,"Basra Cultural Museum"
47.774167,30.451263,"amusement park  of Galfar"
48.002315,30.461744,"amusement park  of  Coast"
44.2857844,30.1032926,"The Shrine of Imam Ali bin Abi Talib"
44.2016254,30.0216341,"The Shrine of the Prophet Hood"
44.1533032,33.9295777,"The Shrine of the Prophet Salih"
44.2342838,30.0545005,"The Shrine of the Prophet Adam"
44.312848,32.785208,"Mosque of Muslim bin Aqeel"
44.311553,32.003777,"Valley of Peace"
44.400804,32.029196,"Mosque of Kufa"
44.238424,32.014108,"Sea of ??Najaf"
44.4067993,32.0352018,"The big market"
44.3139,31.731091,"Khan Al Rahba"
44.333116,32.027376,"Najaf Heritage Museum"
44.336958,32.019702,"The typical recreational city"
44.333116,32.027376,"Palace of the Emirate"
44.338589,31.995411,"amusement park  of  Teachers"
44.343429,32.021891,"amusement park  of Peace"
43.797185,32.516496,"Imam Ali bin Abi Talib drop"
43.602429,32.440566,"Al - Ukhaydir Fort"
31.1994291,30.0421438,"The Shrine of Imam Hussein and Abbas"
43.711478,32.463096,"The Palace of Shimon"
43.633333,32.75,"Lake of  Razzaza"
44.081063,32.640712,"White Qantara"
43.4909578,32.5650839,"Ayn al-Tamr"
44.034153,32.618585,"Bab al-Salalma market"
43.856644,34.184648,"Al-Min?rat Al-Malwiyyah"
43.87358,34.199025,"The two military imams"
43.808183,34.241543,"Qasr al-'Ashiq"
43.802205,34.361148,"Mosque of Abu Delf"
43.905515,34.166004,"Samarra"
43.881454,34.235364,"The Abbasid Antiquities"
44.98119,34.060879,"Al-Sodor lake"
44.99374862,34.05847115,"Dam of Diyala"
44.992222,34.238611,"Lake of  Hamrin"
44.517962,34.630628,"The tourist city in the Great Dam"
45.38444689,34.35351169,"Qantaraa of Khanaqin"
44.631817,33.744149,"Qantara of Bharaz"
44.542839,33.567086,"Khan Bani Saad"
44.936954,34.433583,"Qara Tabah market"
44.640005,33.754995,"Shabandar Mosque"
45.116041,34.188242,"Mosque of Naqshbandi"
41.914595,34.46562,"Mosque of Sheikh Rajab (Rawa)"
42.386855,34.130381,"Mosque of Farouk"
43.46448,33.291908,"Lake of Habbaniyah"
42.355,34.206944,"Hdietha dam"
43.276048,33.413944,"Ozdelik Park Shopping Center"
43.252151,33.984654,"Lake of Al-Tharthar"
42.531346,33.875549,"Khan al-Baghdadi"
44.399265,32.348557,"The Shrine of the Prophet Ayoub"
44.882572,32.073298,"The Shrine of the Prophet Shuaib"
44.906883,31.99587,"Corniche of Diwaniyah"
44.920113,32.002635,"Olive Park"
44.395777,35.469778,"Castle of Kirkuk"
44.512678,35.312274,"Castle of Gramo"
44.388542,35.471226,"Al Qashla Building"
44.395579,35.468651,"The Shrine of the Prophet Daniel"
44.40455,35.487651,"Sargnar Park"
44.406905,35.492581,"Mosque of the friend."
44.373968,35.425687,"Mosque of Mohammed al - Ghouth (Mosque judge)."
44.369166,35.423836,"The amusement park of Baba Karkar"
44.378564,35.410389,"The amusement park of Kirkuk"
46.103178,30.962755,"The archaeological city of Ur"
46.105714,30.961455,"Or Chaldean"
46.105134,30.961768,"Museum of Inaglede Nana"
46.25462,31.079486,"Erdo"
46.975481,30.955043,"The Dhi Qar Marshes"
46.253759,31.043025,"Faleh Pasha Grand Mosque."
46.463078,30.887144,"Mosque of Souk al-Shuyuk"
46.237285,31.046957,"Museum of Nasiriyah"
46.611428,31.165754,"Anchorage Boats Reform"
45.28751,31.317228,"Zaytouna Park"
45.274062,31.313716,"Park Teachers District"
45.299386,29.913317,"The Archaeological Temple of Carius"
45.280618,31.318839,"Orok Castle"
45.006995,31.314255,"Lake of Sawa"
47.05,30.766667,"Maysan Marshlands"
47.143772,31.859256,"Zoo and Park of Omaraa"
47.159655,31.846736,"Boat Park"
47.16038,31.84191,"The entertainment city of Maysan"
47.151196,31.848654,"Great Architecture Market"
45.818825,32.532052,"Damok Park"
45.752098,32.602409,"Historic City of Wasit"
45.812689,32.506066,"Corniche El Kout"
45.828086,32.493208,"Grand Mosque of Kut"
45.816722,32.503519,"Al Rihana Park"
45.828609,32.498669,"Heritage Market"
