"Place.names","Latitude","Longitude","City"
"Mosque of the Prophet  Georgsmoschee","level 4","level 3","Mosul"
"Al Najafi Street","level 4","level 3","Mosul"
"Hamam al-Alil","level 4","level 3","Mosul"
"Mosul Museum","level 4","level 3","Mosul"
"University of Mosul Stadium","level 4","level 3","Mosul"
"New Gate Park","level 4","level 3","Mosul"
"The forests of Mosul","level 4","level 3","Mosul"
"Al-Amadiyah Castle","level 4","level 3","Dohuk"
"The Abbasid Bridge","level 4","level 3","Dohuk"
"Great Duhok Mosque.","level 4","level 3","Dohuk"
"The Great Mosque in Aqra","level 4","level 3","Dohuk"
"Resort of Zawita","level 4","level 3","Dohuk"
"Shranche waterfall","level 4","level 3","Dohuk"
"Resort  of Sarsink","level 4","level 3","Dohuk"
"Resort of Ashawa","level 4","level 3","Dohuk"
"Resort of Solav","level 4","level 3","Dohuk"
"Prazani Park","level 4","level 3","Dohuk"
"Park Azadi","level 4","level 3","Dohuk"
"Phin Resort","level 4","level 3","Dohuk"
"Duhok Mall","level 4","level 3","Dohuk"
"Dohuk Governorate","level 4","level 3","Dohuk"
"Resort  of Kelly Sheeran","level 4","level 3","Dohuk"
"Family Mall","level 4","level 3","Dohuk"
"Gali Ali Beg Waterfall","level 4","level 4","Arbil"
"Waterfall Bekhal","level 4","level 4","Arbil"
"Shaklawa Resort","level 4","level 4","Arbil"
"Chandelar Cave","level 4","level 4","Arbil"
"Resort Haj Omran","level 4","level 4","Arbil"
"Museum of Syrialc Heritage","level 4","level 4","Arbil"
"Ganarok Resort","level 4","level 4","Arbil"
"Aqua Park","level 4","level 4","Arbil"
"Shandar Park","level 4","level 4","Arbil"
"Ronaki Park","level 4","level 4","Arbil"
"Sami Abdel Rahman Park","level 4","level 4","Arbil"
"Shander Park","level 4","level 4","Arbil"
"Lighthouse Park","level 4","level 4","Arbil"
"amusement park  of Ainkawa","level 4","level 4","Arbil"
"amusement park  of Family Fan","level 4","level 4","Arbil"
"Ainkawa Park","level 4","level 4","Arbil"
"Plain pf Harer","level 4","level 4","Arbil"
"Historic Arbil Castle","level 4","level 4","Arbil"
"Castle of nobles","level 4","level 4","Arbil"
"The Jolly Minaret","level 4","level 4","Arbil"
"Rawanduz","level 4","level 4","Arbil"
"Tourist Bank Resort","level 4","level 4","Arbil"
"Magdy Mall","level 4","level 4","Arbil"
"Holler Mall","level 4","level 4","Arbil"
"Rhine Mall","level 4","level 4","Arbil"
"city ??center","level 4","level 4","Arbil"
"Tablo Mall","level 4","level 4","Arbil"
"Mount Azmar","level 4","level 4","Sulaymaniyah"
"Mount Koige","level 4","level 4","Sulaymaniyah"
"the aquatic city","level 4","level 4","Sulaymaniyah"
"Sargonar","level 4","level 4","Sulaymaniyah"
"Ahmed Awa Falls","level 4","level 4","Sulaymaniyah"
"Lake of Dokan","level 4","level 4","Sulaymaniyah"
"Lake Darbandakhan","level 3","level 4","Sulaymaniyah"
"Kunah Masi","level 4","level 4","Sulaymaniyah"
"Chirouane Castle","level 3","level 4","Sulaymaniyah"
"Mosque of Sulaymaniyah","level 4","level 4","Sulaymaniyah"
"Museum of Sulaymaniyah","level 4","level 4","Sulaymaniyah"
"Family Mall","level 4","level 4","Sulaymaniyah"
"Magdy Mall","level 4","level 4","Sulaymaniyah"
"Jaffee Land","level 4","level 4","Sulaymaniyah"
"Mallow Mall","level 4","level 4","Sulaymaniyah"
"Park Azadi","level 4","level 4","Sulaymaniyah"
"Babil Tourist Resort","level 2","level 4","Babylon"
"Traces of Babylon","level 2","level 4","Babylon"
"Mosque of Nakhilah","level 2","level 4","Babylon"
"Grand Mosque of Hilla","level 2","level 4","Babylon"
"Grand Mosque of Alexandria","level 2","level 4","Babylon"
"Great Mosque of Musayyib","level 2","level 4","Babylon"
"Al Zaqora Park","level 2","level 4","Babylon"
"The Nimrod Tower in Borsiba","level 2","level 4","Babylon"
"The Shrine of the Prophet Ibrahim","level 2","level 4","Babylon"
"The Shrine of the Prophet Ayoub","level 2","level 4","Babylon"
"The Ishtar Gate","level 2","level 4","Babylon"
"Hanging Gardens","level 2","level 4","Babylon"
"The Nebuchadnezzar Museum","level 2","level 4","Babylon"
"The Babylonian Theater","level 2","level 4","Babylon"
"The Shrine of Sharifa Bint Al Hassan","level 2","level 4","Babylon"
"Sindbad Island","level 1","level 4","Basra"
"The tourist baho","level 1","level 4","Basra"
"Qurna","level 1","level 4","Basra"
"Basra Land","level 1","level 4","Basra"
"Basra Sports City","level 1","level 4","Basra"
"corneche Street","level 1","level 4","Basra"
"Threshold forests","level 1","level 4","Basra"
"Burjisiyah","level 1","level 4","Basra"
"Al Khoura Gardens","level 1","level 4","Basra"
"Presidential Palace","level 1","level 4","Basra"
"Indian Market","level 1","level 4","Basra"
"Market of Al-ashaar","level 1","level 4","Basra"
"Basra Times Square","level 1","level 4","Basra"
"Ashar Center","level 1","level 4","Basra"
"Basra Mall","level 1","level 4","Basra"
"Basra Cultural Museum","level 1","level 4","Basra"
"amusement park  of Galfar","level 1","level 4","Basra"
"amusement park  of  Coast","level 1","level 4","Basra"
"The Shrine of Imam Ali bin Abi Talib","level 1","level 4","Najaf"
"The Shrine of the Prophet Hood","level 1","level 4","Najaf"
"The Shrine of the Prophet Salih","level 3","level 4","Najaf"
"The Shrine of the Prophet Adam","level 1","level 4","Najaf"
"Mosque of Muslim bin Aqeel","level 2","level 4","Najaf"
"Valley of Peace","level 2","level 4","Najaf"
"Mosque of Kufa","level 2","level 4","Najaf"
"Sea of ??Najaf","level 2","level 4","Najaf"
"The big market","level 2","level 4","Najaf"
"Khan Al Rahba","level 1","level 4","Najaf"
"Najaf Heritage Museum","level 2","level 4","Najaf"
"The typical recreational city","level 2","level 4","Najaf"
"Palace of the Emirate","level 2","level 4","Najaf"
"amusement park  of  Teachers","level 2","level 4","Najaf"
"amusement park  of Peace","level 2","level 4","Najaf"
"Imam Ali bin Abi Talib drop","level 2","level 3","Karbala"
"Al - Ukhaydir Fort","level 2","level 3","Karbala"
"The Shrine of Imam Hussein and Abbas","level 1","level 1","Karbala"
"The Palace of Shimon","level 2","level 3","Karbala"
"Lake of  Razzaza","level 2","level 3","Karbala"
"White Qantara","level 2","level 4","Karbala"
"Ayn al-Tamr","level 2","level 3","Karbala"
"Bab al-Salalma market","level 2","level 4","Karbala"
"Al-Min?rat Al-Malwiyyah","level 3","level 4","Salahaddin"
"The two military imams","level 3","level 4","Salahaddin"
"Qasr al-'Ashiq","level 3","level 4","Salahaddin"
"Mosque of Abu Delf","level 3","level 4","Salahaddin"
"Samarra","level 3","level 4","Salahaddin"
"The Abbasid Antiquities","level 3","level 4","Salahaddin"
"Al-Sodor lake","level 3","level 4","Diyala"
"Dam of Diyala","level 3","level 4","Diyala"
"Lake of  Hamrin","level 3","level 4","Diyala"
"The tourist city in the Great Dam","level 3","level 4","Diyala"
"Qantaraa of Khanaqin","level 3","level 4","Diyala"
"Qantara of Bharaz","level 3","level 4","Diyala"
"Khan Bani Saad","level 2","level 4","Diyala"
"Qara Tabah market","level 3","level 4","Diyala"
"Shabandar Mosque","level 3","level 4","Diyala"
"Mosque of Naqshbandi","level 3","level 4","Diyala"
"Mosque of Sheikh Rajab (Rawa)","level 3","level 3","Anbar"
"Mosque of Farouk","level 3","level 3","Anbar"
"Lake of Habbaniyah","level 2","level 3","Anbar"
"Hdietha dam","level 3","level 3","Anbar"
"Ozdelik Park Shopping Center","level 2","level 3","Anbar"
"Lake of Al-Tharthar","level 3","level 3","Anbar"
"Khan al-Baghdadi","level 3","level 3","Anbar"
"The Shrine of the Prophet Ayoub","level 2","level 4","Qadisiyah"
"The Shrine of the Prophet Shuaib","level 2","level 4","Qadisiyah"
"Corniche of Diwaniyah","level 2","level 4","Qadisiyah"
"Olive Park","level 2","level 4","Qadisiyah"
"Castle of Kirkuk","level 4","level 4","Kirkuk"
"Castle of Gramo","level 3","level 4","Kirkuk"
"Al Qashla Building","level 4","level 4","Kirkuk"
"The Shrine of the Prophet Daniel","level 4","level 4","Kirkuk"
"Sargnar Park","level 4","level 4","Kirkuk"
"Mosque of the friend.","level 4","level 4","Kirkuk"
"Mosque of Mohammed al - Ghouth (Mosque judge).","level 4","level 4","Kirkuk"
"The amusement park of Baba Karkar","level 4","level 4","Kirkuk"
"The amusement park of Kirkuk","level 4","level 4","Kirkuk"
"The archaeological city of Ur","level 1","level 4","Dhi Qar"
"Or Chaldean","level 1","level 4","Dhi Qar"
"Museum of Inaglede Nana","level 1","level 4","Dhi Qar"
"Erdo","level 1","level 4","Dhi Qar"
"The Dhi Qar Marshes","level 1","level 4","Dhi Qar"
"Faleh Pasha Grand Mosque.","level 1","level 4","Dhi Qar"
"Mosque of Souk al-Shuyuk","level 1","level 4","Dhi Qar"
"Museum of Nasiriyah","level 1","level 4","Dhi Qar"
"Anchorage Boats Reform","level 1","level 4","Dhi Qar"
"Zaytouna Park","level 1","level 4","Muthanna"
"Park Teachers District","level 1","level 4","Muthanna"
"The Archaeological Temple of Carius","level 1","level 4","Muthanna"
"Orok Castle","level 1","level 4","Muthanna"
"Lake of Sawa","level 1","level 4","Muthanna"
"Maysan Marshlands","level 1","level 4","Maysan"
"Zoo and Park of Omaraa","level 2","level 4","Maysan"
"Boat Park","level 2","level 4","Maysan"
"The entertainment city of Maysan","level 2","level 4","Maysan"
"Great Architecture Market","level 2","level 4","Maysan"
"Damok Park","level 2","level 4","Wasit"
"Historic City of Wasit","level 2","level 4","Wasit"
"Corniche El Kout","level 2","level 4","Wasit"
"Grand Mosque of Kut","level 2","level 4","Wasit"
"Al Rihana Park","level 2","level 4","Wasit"
"Heritage Market","level 2","level 4","Wasit"
